instrument_name,origin_country,instrument_type,historical_significance,average_price,primary_materials,complexity_rating,unique_characteristics
Synthesizer (Moog),United States,Electronic,Revolutionized electronic music,6000,Electronic components,9.3,Allows complex sound manipulation
Bass Saz,Turkey,String,Traditional Turkish long-necked lute,1150,Mulberry wood; metal,7.9,Deeper tone than standard saz
Balalaika,Russia,String,Traditional Russian folk instrument,750,Wood and steel strings,7.6,Triangular-shaped body with three strings
Berimbau,Brazil,Percussion,Central to Capoeira martial art,250,Wood and steel wire,7.3,Single-stringed percussion instrument
Santur,Iran,String,Classical Persian hammered dulcimer,2500,Wood and metal strings,8.6,Played with special mallets
Marimba,Guatemala,Percussion,Originated in Central America,4000,Rosewood and metal,8.7,Largest pitched percussion instrument
Celtic Harp,Ireland,String,Symbol of Irish musical heritage,3500,Wood and metal strings,8.4,Associated with bardic tradition
Steel Drums,Trinidad and Tobago,Percussion,Developed in Caribbean,1200,Steel,7.8,Unique sound from hammered oil drums
Shakuhachi,Japan,Wind,Zen Buddhist meditation instrument,1500,Bamboo,8.2,Produces meditative breathy tones
Mandolin,Italy,String,Popular in folk and bluegrass,1250,Wood and metal strings,7.7,Small stringed instrument with distinctive sound
Tar,Azerbaijan,String,Traditional Middle Eastern lute,900,Wood and animal skin,8.1,Used in mugham classical music
Marimba de Chonta,Colombia,Percussion,Indigenous Colombian instrument,600,Chonta wood,7.5,Large wooden xylophone-like instrument
Cimbalom,Hungary,Percussion,Central European hammered dulcimer,3000,Wood and metal strings,8.5,Played with special mallets
Shamisen,Japan,String,Traditional Japanese three-stringed lute,1500,Wood and animal skin,8.0,Distinctive plucking technique
Bouzouki,Greece,String,Central to Greek folk music,1000,Wood and metal strings,7.9,Long-necked plucked instrument
Harmonicas,Germany,Wind,Portable free-reed instrument,200,Metal reeds and wood,7.4,Compact breath-powered instrument
Zurna,Turkey,Wind,Traditional double-reed instrument,300,Wood and metal,7.6,Loud piercing sound used in celebrations
Kaval,Bulgaria,Wind,Traditional shepherd's flute,250,Wood,7.3,Open-ended wooden flute
Oud Elektriki,Lebanon,String,Electrified version of traditional oud,2000,Wood and electronic pickups,8.2,Modernized traditional instrument
Djembe,West Africa,Percussion,Traditional West African drum,400,Wood and goatskin,7.7,Hand drum with distinctive sound
Tibetan Singing Bowl,Tibet,Percussion,Used in meditation practices,500,Bronze alloy,6.8,Produces resonant tones when struck
Bandoneon,Argentina,Keyboard,Essential to tango music,2500,Wood and metal reeds,8.6,Unique accordion-like instrument
Quena,Peru,Wind,Traditional Andean flute,300,Bamboo or cane,7.5,Open-ended vertical flute
Arpegione,Italy,String,Historical predecessor to cello,5000,Wood,8.3,Rare bowed string instrument
Electric Sitar,India,String,Modern adaptation of traditional sitar,1500,Wood and electronic pickups,8.0,Electrified version of classical instrument
Hang,Switzerland,Percussion,Modern sound sculpture,3000,Nitrided steel,7.9,Hand-hammered resonant instrument
Concert Harp,France,String,Pinnacle of orchestral string instruments,25000,Wood and metal strings,9.5,Largest orchestral string instrument
Koto,Japan,String,Traditional Japanese zither,2000,Paulownia wood,8.4,Thirteen-stringed plucked instrument
Bansuri,India,Wind,Classical North Indian bamboo flute,500,Bamboo,7.6,Key instrument in Hindustani classical music
Mandola,Italy,String,Larger cousin of the mandolin,1500,Wood and metal strings,7.8,Deeper-toned stringed instrument
Charango,Bolivia,String,Traditional Andean small guitar,600,Wood; armadillo shell,7.5,Tiny guitar with unique body
Electric Harp,United States,String,Modern amplified harp,5000,Wood and electronic pickups,8.6,Electrified version of classical harp
Bougarabou,Senegal,Percussion,Traditional West African drum,300,Wood and goatskin,7.6,Slim conical drum played with hands
Gandharva Vina,India,String,Ancient classical Indian instrument,3000,Gourd and wood,8.9,Rare stringed instrument with deep cultural significance
Melodica,Italy,Wind,Keyboard-blown instrument,200,Plastic and metal reeds,7.2,Breath-powered keyboard instrument
Ronroco,Bolivia,String,Small Andean lute,800,Wood,7.7,Smaller version of charango
Dizi,China,Wind,Traditional Chinese transverse flute,500,Bamboo,7.6,Bamboo flute with distinct membrane
Saz,Turkey,String,Traditional long-necked lute,1000,Mulberry wood,7.9,Long-necked stringed instrument
Bell Harp,Medieval Europe,String,Historical plucked string instrument,2500,Wood and metal strings,8.0,Rare medieval stringed instrument
Ney,Middle East,Wind,Ancient Middle Eastern reed flute,600,Reed or bamboo,8.3,Key instrument in Sufi spiritual music
Rebab,Indonesia,String,Traditional Southeast Asian instrument,700,Wood and animal skin,7.5,Bowed string instrument
Electric Zither,Germany,String,Modern electronic adaptation,2000,Wood and electronic pickups,8.2,Electrified version of traditional zither
Berimbolo,Brazil,Percussion,Variant of Berimbau,250,Wood and steel wire,7.4,Slight variation of traditional instrument
Ocarina,Italy,Wind,Ancient vessel flute,150,Clay or ceramic,7.0,Small egg-shaped wind instrument
Psaltery,Ancient Greece,String,Early plucked string instrument,1500,Wood,7.6,Flat stringed instrument played by plucking
Rubab,Afghanistan,String,Traditional Central Asian instrument,900,Wood and animal skin,8.0,Lute-like instrument with deep resonant sound
Sho,Japan,Wind,Traditional Japanese court instrument,2000,Bamboo pipes,8.4,Ancient mouth organ used in imperial court music
Jaw Harp,Various,Percussion,Found in multiple global cultures,100,Metal and wood,7.1,Small instrument played by mouth with twanging sound
Huruk,Indonesia,Percussion,Traditional Indonesian instrument,250,Wood and metal,7.3,Unique percussive instrument from Southeast Asia
Pipa,China,String,Classical Chinese lute,1800,Wood and silk strings,8.5,Pear-shaped lute with four strings
Setar,Iran,String,Persian classical instrument,1200,Mulberry wood,8.2,Long-necked lute with four strings
Kemençe,Turkey,String,Traditional Black Sea instrument,800,Wood and horsehair strings,7.8,Bowed string instrument with unique timbre
Nai,Romania,Wind,Traditional Romanian pan flute,300,Bamboo,7.5,Multiple bamboo pipes of different lengths
Yayli Tambur,Turkey,String,Classical Ottoman instrument,2500,Wood and metal strings,8.6,Long-necked bowed string instrument
Sansula,Germany,Percussion,Modern kalimba variation,250,Wood and metal tines,7.2,Mounted kalimba with unique resonance
Bass Kaval,Bulgaria,Wind,Low-pitched folk flute,400,Wood,7.6,Larger version of traditional kaval
Electric Oud,Middle East,String,Modern amplified oud,2500,Wood and electronic pickups,8.3,Electrified traditional Middle Eastern lute
Tibetan Dungchen,Tibet,Wind,Ceremonial long horn,1500,Copper and brass,8.0,Extremely long ceremonial horn
Morin Khuur,Mongolia,String,Traditional Mongolian horse-head fiddle,1000,Wood and horsehair,8.4,Unique two-stringed instrument with horse-head carving
Zither,Germany,String,Traditional plucked string instrument,1500,Wood and metal strings,7.9,Flat stringed instrument with multiple strings
Kantele,Finland,String,Traditional Finnish folk instrument,800,Wood,7.7,Plucked string instrument with distinctive sound
Steel Tongue Drum,Various,Percussion,Modern meditative instrument,300,Steel,7.4,Melodic percussion instrument
Accordion,Italy,Keyboard,Popular in multiple musical traditions,2000,Wood and metal reeds,8.0,Portable reed instrument with keyboard
Gusli,Russia,String,Ancient Slavic instrument,1200,Wood,7.6,Oldest East Slavic multi-string instrument
Electric Saz,Turkey,String,Modern amplified version,1800,Wood and electronic pickups,8.2,Electrified version of traditional long-necked lute
Hydraulophone,Canada,Wind,First water-based musical instrument,15000,Stainless steel; water jets,8.8,Produces sound through water jet modulation
Yaybahar,Turkey,String,Modern acoustic instrument invention,4500,Springs; membranes; strings,8.7,Combines springs and strings for unique resonance
Glass Marimba,France,Percussion,Contemporary classical percussion innovation,8500,Tempered glass; metal frame,7.8,Crystal clear tones from precisely tuned glass bars
Mixturtrautonium,Germany,Electronic,Early electronic instrument from 1930s,20000,Electronic components; metal,9.1,Subharmonic sound generation capabilities
Dan Bau,Vietnam,String,Traditional Vietnamese monochord,1200,Bamboo; brass; silk string,8.4,Single string produces wide range through flageolets
Array Mbira,United States,Percussion,Modern evolution of African thumb piano,1800,Steel tines; wood resonator,7.9,Mathematically arranged tines for complex harmonies
Bazantar,India,String,Modern fusion of sitar and upright bass,12000,Wood and sympathetic strings,9.0,Five-string acoustic bass modified with 29 sympathetic strings and a drone
