shop_id,name,city,country,roast_type,specialty,price_usd,seating_capacity,wifi_available,rating
CS090,Caffe Ladro,Seattle,USA,Medium,Americano,4.75,35,true,4.3
CS091,Herkimer Coffee,Seattle,USA,Light,Pour Over,5.50,25,true,4.5
CS092,Anchorhead Coffee,Seattle,USA,Light,Cold Brew,5.75,40,true,4.6
CS093,Elm Coffee Roasters,Seattle,USA,Light,Single Origin,6.25,30,true,4.7
CS094,Olympia Coffee Roasting,Olympia,USA,Light,Espresso,5.25,25,true,4.6
CS095,Kuma Coffee,Seattle,USA,Light,Drip Coffee,4.50,30,true,4.5
CS096,Slate Coffee Roasters,Seattle,USA,Light,Brew Bar,7.00,20,false,4.8
CS097,Ballard Coffee Works,Seattle,USA,Medium,Latte,5.25,35,true,4.4
CS098,Makemake Roasters,Vienna,Austria,Light,Espresso,4.75,25,true,4.7
CS099,Kaffeemodul,Vienna,Austria,Light,Filter Coffee,5.50,20,true,4.6
CS100,Supersense,Vienna,Austria,Medium,Cappuccino,5.25,30,true,4.5
